"n","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
50,0.2,1,0,4,0.8,0.26889340494034,0.147959331504223,0.0456801885939288,0.114805596389201,0.0030592581136375,0.148718814956268,0.850794722935053,0.226709590846053,0.174975976605796,0.140851570267228,2.17313201018615,1.45565079069386,1.18015633028894,1.1949938158088,1.36618399521761
50,0.2,1,0,4,1,0.300721631515724,0.157277667057042,0.0461941931610485,0.115122677302423,0.000644474119903604,0.14104087419527,0.920327441961685,0.233446721129188,0.161838279359401,0.156266124127582,2.22806547508051,1.49566191626775,1.19654862187844,1.20063688185257,1.36786844933574
50,0.3,1,0,4,-1,0.061555592155115,0.0460796919776857,0.0606088638762813,0.0463989447807926,0.044623504373016,0.151159408965167,0.0650823085022623,0.0440321877700551,0.0424595768644368,0.0558438505190592,1.15084821023344,1.1523195209834,1.15237548794941,1.29558146124039,1.13916670482334
50,0.3,1,0,4,-0.8,0.0735217654775581,0.0781597619915335,0.0608053204618878,0.0839646412135027,0.015170799041219,0.214028668469,0.111509936295603,0.0840454407637304,0.043457548393689,0.0916985108342182,1.22518700306206,1.17200756838546,1.16462121606939,1.29987444651437,1.15754057451075
50,0.3,1,0,4,-0.6,0.111303382400856,0.0977980661282294,0.0799250344380032,0.0982823985257058,0.0121045153578474,0.206035025602263,0.190332230622429,0.116003037198901,0.0646982860063847,0.103063127115736,1.39077148470277,1.28071653712494,1.2482719332606,1.2937308925948,1.24007003922747
50,0.3,1,0,4,-0.4,0.153955549648897,0.108468342118391,0.0994774052267075,0.116004308979624,0.00908412452475736,0.189877027398795,0.284083567098022,0.129278621320382,0.0940375368317245,0.118222848668899,1.44993437044408,1.28789448549979,1.2448260487267,1.27741949567143,1.24087928146092
50,0.3,1,0,4,-0.2,0.262439073770656,0.131183533274202,0.146091095237229,0.139375797263627,0.0143390962610057,0.156200926100013,0.519114206029761,0.164302123012783,0.163299362304832,0.135631011348769,1.75322237875671,1.4379005985071,1.32020178499797,1.24102218165899,1.35376788805555
50,0.3,1,0,4,0,0.372192844240704,0.169855384022607,0.185004474212255,0.173515732303501,0.00642446265080004,0.173958177684264,0.710103754981815,0.202642441904632,0.231660875402202,0.170937884097542,1.98392470110681,1.59192019026583,1.40182035357815,1.2262145889206,1.45935619598854
50,0.3,1,0,4,0.2,0.492371047531108,0.167114327557074,0.223610337951021,0.184980434475715,0.0174042249867972,0.18140102042848,0.930175213845645,0.192992983388649,0.312316116229362,0.155476314956616,2.19402196551809,1.71892541542601,1.46928272259373,1.26762388663169,1.53805546478359
50,0.3,1,0,4,0.4,0.530542366444383,0.187841949438394,0.184050790738088,0.185276337083117,0.00998074986486602,0.165170526929263,1.09991856168075,0.229883003099558,0.325309790906091,0.195124180452177,2.42320650602648,1.78534405429106,1.42681625313667,1.2491674815049,1.59137133020628
50,0.3,1,0,4,0.6,0.676836407896911,0.196818303088858,0.27046800617721,0.206467330501166,0.0170707486402819,0.229671692493139,1.2353118596114,0.230032031993885,0.432159590275196,0.201250688468641,2.59019889525731,1.96093777333798,1.53762930655453,1.3472224005537,1.73412497252596
50,0.3,1,0,4,0.8,0.787793769077987,0.221426204284588,0.262379105213365,0.216363350218625,0.00635673601529659,0.180902485345238,1.42627109247261,0.240540945875628,0.479692380603901,0.226201261693208,2.75587051470606,2.06796840477689,1.54895178036584,1.26227057998853,1.78049582775981
50,0.3,1,0,4,1,0.857379058374983,0.238295316817252,0.285018476115675,0.233789884040866,0.00546735542181772,0.163869995957783,1.57213268620056,0.231858891374729,0.583649400783894,0.2389047712897,2.92940361133685,2.18926616777155,1.59017302431175,1.2107979334985,1.92812957794747
50,0.4,1,0,4,-1,0.0953440601340128,0.0474663238820907,0.0933376765268793,0.0492648554231621,0.0804114629828712,0.151547713484188,0.098797152826534,0.0455373087258939,0.0787117051800703,0.0623024633753657,1.15089630211326,1.14883686424987,1.14897012161334,1.29346344265991,1.15251221196261
50,0.4,1,0,4,-0.8,0.0974309934570061,0.0791336663608172,0.0879490687712751,0.0824744056583354,0.0279160180668699,0.206231491509721,0.130713085145666,0.080279590729493,0.0722525203744873,0.0918612193417993,1.24885261574951,1.21436776204407,1.21078434580552,1.33609702247566,1.21770018737673
50,0.4,1,0,4,-0.6,0.217822674687354,0.123346630111142,0.186686426833971,0.133416824224236,0.0475629353675165,0.287701998796352,0.313682835595646,0.128641226337022,0.151037587155027,0.134391307870329,1.4991006794514,1.38505088409601,1.36576022503891,1.42393941132817,1.33440967129169
50,0.4,1,0,4,-0.4,0.321861226917281,0.12653194979934,0.250217946717985,0.141140091287123,0.0383351523893712,0.235728388911677,0.495369311698917,0.129567898673872,0.223625348384441,0.137785262823817,1.73087008740843,1.54230029596217,1.48382745400218,1.40313264334684,1.46436397712017
50,0.4,1,0,4,-0.2,0.466037880548767,0.162254360902072,0.327065549168918,0.177526587931386,0.0222138614958006,0.232723948244389,0.737062307666583,0.1676943594698,0.315616819448261,0.187697216920476,1.98978419449528,1.68666278877678,1.56282771194517,1.31081524020834,1.57543601024551
50,0.4,1,0,4,0,0.626630716816835,0.166351768774614,0.392412754648088,0.187692522268504,0.0387121451530068,0.272061939441191,0.994332898526322,0.175920645659688,0.451284752880862,0.178271121522698,2.26398374051083,1.87635994367294,1.67429875971108,1.40576364356178,1.73029445747551
50,0.4,1,0,4,0.2,0.841428022076557,0.212107336752967,0.547649868400019,0.231963994320132,0.0310228682985669,0.246687961332862,1.272900198799,0.216070471919581,0.616442442982606,0.215516371632038,2.59292637209884,2.14546099401799,1.87162428393469,1.37591084238476,1.95616873984534
50,0.4,1,0,4,0.4,1.07327894078759,0.243814868849867,0.619790238828405,0.286971629366548,0.0367428547010246,0.28394537573292,1.54489571392434,0.214282444617308,0.78795855012177,0.248894792144971,2.94541111708285,2.46283115129517,2.02011721624237,1.41173532420299,2.1810361291454
50,0.4,1,0,4,0.6,1.37564935546218,0.272320979831185,0.891209762633161,0.335533431085519,0.034096292082059,0.244942738482365,1.92794047001985,0.248220296081476,0.998073917396054,0.288552191931802,3.31176332254265,2.75968654174138,2.35697220207097,1.34344288475402,2.40263114880676
