"n","contamination_level","ctam_df","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe","ols_est_mse","robust_m_est_mse","robust_mm_est_mse","robust_s_est_mse","ols_diag_est_mse"
200,0.4,1,4,-1.8758825697059,0.0367696251842978,-0.742390734356416,0.0717793112374578,-0.166769300610274,0.024849038850567,-1.91596459499839,0.0157595184604254,-1.65303835532976,0.0731691676318221,4.69719548364883,4.56633447553225,1.63841488252094,1.0779845576866,3.82011984287181,3.68660105015545,3.55552119238479,0.62256441713953,0.052536793282354,2.80533912598497
200,0.4,2,4,-1.04297573632695,0.0584105932301932,-0.658484500815151,0.0306061994313285,-0.204214478578893,0.0290233295547562,-1.33137112705968,0.0659822935572136,-0.86148650635687,0.047031786638149,2.86417526866903,2.16482529776979,1.47746015218881,1.08599157731639,1.80582103726237,1.83820146005758,1.14591692683079,0.46405500624795,0.0705817661682314,0.788955628339924
200,0.4,5,4,-0.629346508372467,0.0194940671604297,-0.542693005834542,0.0203360021983649,-0.218526141701987,0.0335085837323558,-0.779530948306879,0.0298951662793149,-0.529319532535646,0.0194286729683451,1.65034856596724,1.42630757462428,1.32536699445586,1.10363984234912,1.31254762518026,0.637414189816141,0.415473624425243,0.314750020769103,0.0810947154208509,0.299510697127258
200,0.4,10,4,-0.573427586983356,0.012405213656523,-0.534152957540365,0.0143983216860296,-0.227208688791116,0.0406383065788191,-0.671012283533407,0.0112571587219713,-0.484396780286061,0.0138707620497044,1.49419134889293,1.37143252744123,1.32919270479948,1.12427222905855,1.27799612193218,0.461458357581079,0.341162385101795,0.299645712126718,0.092058903308103,0.248441648990959
200,0.4,20,4,-0.531480997792509,0.0123816818564426,-0.503914023007547,0.0134860269194591,-0.22331849219533,0.0386711058801263,-0.615699369492832,0.0117659622520157,-0.445556039610641,0.0123489256234343,1.39461809519208,1.29692030039596,1.26916499181073,1.09601716803549,1.21221310735924,0.390792846034627,0.294791824461681,0.267347939368513,0.0883488993071214,0.210807365428836
200,0.5,1,4,-1.91332249725825,0.0141484954169153,-1.19145061527308,0.109494898268141,-0.28728180112539,0.0469982516180804,-1.9360813860645,0.00650990308436942,-1.73932092135163,0.0372851617206821,4.76533900796506,4.68481602678214,2.56122289907545,1.15551875749931,4.07324252884569,3.75488848703438,3.67488073145437,1.5285019924114,0.129294093617838,3.06233600336356
200,0.5,2,4,-1.23722432814331,0.0516403733766147,-0.919978106677151,0.0411691206945537,-0.325282907591876,0.04661641343393,-1.44466972503926,0.0498377330600355,-1.03672854581294,0.0387419101299994,3.18077333344998,2.61894070825927,1.91301840313208,1.1749327495299,2.14228534220667,2.13665915883973,1.58210620965941,0.887322991856357,0.152192301338185,1.11335427828276
200,0.5,5,4,-0.779719786560038,0.0171801066418178,-0.718615795810322,0.0198629597727399,-0.319261606025806,0.046832377829482,-0.8994828457522,0.0203726207495956,-0.67071939497273,0.0160265116897109,1.83559512141655,1.63434411624894,1.54801361651756,1.17790705086992,1.47752607336592,0.829340147448325,0.625057151661841,0.536172306961979,0.148526189022511,0.465810885923848
200,0.5,10,4,-0.690723272994295,0.0122129991284097,-0.658828593889266,0.01460573200209,-0.339700036141185,0.0427619224410379,-0.776117920461824,0.0117937749294524,-0.60539811855606,0.0131870220078223,1.62561324025673,1.49897404824614,1.45761093419978,1.17717211282929,1.38955775174111,0.614093832516791,0.489250573988719,0.448587819468187,0.157944227383155,0.379627968849001
200,0.5,20,4,-0.64831991428202,0.0112454829202601,-0.631136702754943,0.0132626242723403,-0.3343251425237,0.0435389770694291,-0.70969926057488,0.0103387103316086,-0.57488404467134,0.0130040381400355,1.52732422921932,1.44292149085232,1.42126714146365,1.17404023496566,1.35339058905117,0.513960057240482,0.431507966760305,0.41152984871536,0.155094583107574,0.343430682767015
200,0.6,1,4,-1.95234153715386,0.0049903065410529,-1.5849284632106,0.109784243054098,-0.536665691015772,0.110244326486884,-1.96101831639749,0.00308360236371933,-1.82755060654788,0.0184670242259406,4.85433545114392,4.82348829096188,3.62335518037472,1.42444370937133,4.3722532779794,3.84866102159835,3.81660283270463,2.62123355533395,0.397703168767886,3.35831590859834
200,0.6,2,4,-1.37638923091947,0.0497217460921871,-1.11763843132104,0.0340023769956654,-0.492531737346206,0.0806301325917709,-1.53715220089147,0.0437723605124553,-1.17642148719503,0.0326932937340921,3.3899017691595,2.934899045694,2.28039494469622,1.33881179447042,2.40790113883357,2.4063903874154,1.94392045235283,1.28294802827645,0.322814494222084,1.41649734279958
200,0.6,5,4,-0.913916679995447,0.0146461678622491,-0.876638183430877,0.017551932619867,-0.537137367543472,0.0709327955847167,-0.989671675019469,0.0160605078804401,-0.818652551159202,0.0138374353131487,2.00675042405749,1.86107035347173,1.79762624239233,1.38783772255931,1.69592703967513,0.99543022967688,0.849816634996838,0.785958677605755,0.359094683218324,0.683960247656053
200,0.6,10,4,-0.795914400225376,0.0126825881000649,-0.781964456714609,0.0136796293119269,-0.509331816155405,0.0590639317042573,-0.851093859203377,0.0112032952254306,-0.726680225099382,0.0147638478763767,1.74788370322075,1.65909467885983,1.63872826076672,1.36031954111973,1.55867447243494,0.735508035923002,0.646098907645684,0.62507964273034,0.318187510993899,0.542754178187483
200,0.6,20,4,-0.751377896567076,0.00874212202668217,-0.739542905841209,0.00975028862597201,-0.501718001811091,0.0507520159130098,-0.796681541547901,0.00780725084251009,-0.692569542025323,0.0105954941927665,1.64306300684302,1.57333258451866,1.55661715657242,1.31533972607915,1.49256659428735,0.642469693231438,0.573267154866112,0.556625246762902,0.302219209174759,0.490195087262969
