"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0.4,1,0,4,-0.8,0.101702768098705,0.0794343890269163,0.0885106554929491,0.0836641185320043,0.024346336667274,0.201042474417872,0.140414170422095,0.0840024858274154,0.0723495714639759,0.0903575175134033,1.24062481910881,1.20118534745125,1.19629060632328,1.32463548639912,1.18509272405898
0.4,1,0,4,-0.6,0.179912828139149,0.108622152690119,0.147143903121708,0.115554882247967,0.0215510133085621,0.24400710401578,0.280153788167343,0.121096152159044,0.118476514425434,0.113298758279441,1.47762494650963,1.34865516579632,1.32156161306793,1.36080654748065,1.29743001464196
0.4,1,0,4,-0.4,0.338922234016885,0.143074701184702,0.263012680740471,0.163259057742538,0.039299880678972,0.281230067914126,0.500183924278815,0.147797090890841,0.219033983308088,0.151255688056211,1.71222394224279,1.52632946938354,1.47009588922574,1.38774409668194,1.42096446895937
0.4,1,0,4,-0.2,0.468373056380307,0.138199187100002,0.326237852422626,0.155795508383257,0.0324624677162244,0.229119751709045,0.739937430789632,0.145795870791835,0.315894133212005,0.142732715458914,1.98565806731782,1.69087004192861,1.57322293254871,1.3654105490552,1.55259541545244
0.4,1,0,4,0,0.619304007778876,0.194020295520028,0.386963903626042,0.21700890410963,0.0279533655552061,0.244284149371886,0.996208754419091,0.200687838132157,0.43960158985363,0.219766776801389,2.2797999980138,1.88278071524791,1.67895640140695,1.36321085436645,1.745808819437
0.4,1,0,4,0.2,0.894518231593823,0.208857657769437,0.589555728150668,0.246094103498112,0.0353279587555006,0.220848093721364,1.34033446010467,0.209667803317413,0.656679720402228,0.235198373421578,2.56689773831907,2.1240549491627,1.86836370783736,1.30832237743011,1.92360872585296
0.4,1,0,4,0.4,1.05051370716093,0.22133578253935,0.696147817103408,0.268653507637027,0.0412273654120256,0.272996890796481,1.51161468760708,0.218783990410147,0.750203135115413,0.231791094948978,2.8970796203104,2.40234971553005,2.07281472472362,1.39980395792477,2.096780013267
0.4,1,0,4,0.6,1.34122301804287,0.26739475509077,0.805243449655416,0.358507878781703,0.0488409736529099,0.291571439489053,1.88799814361182,0.248430794783726,1.0094196748976,0.278686775271736,3.22172641115688,2.66646294760865,2.19229755953498,1.42944598088117,2.36198936140449
0.4,1,0,4,0.8,1.65902309938028,0.309516849582753,1.046763631431,0.39483940950662,0.0403620815771493,0.2909029140077,2.20255341219243,0.283536885590408,1.16471270964545,0.314629450769817,3.67915946692346,3.13901833771185,2.61394682132238,1.41971019318037,2.65591485695001
0.4,1,0,4,1,1.80075046576707,0.295445960212536,1.04724271697053,0.380192788309913,0.0624054331217408,0.334670648346415,2.38724897427159,0.278603617379877,1.35839538013551,0.300478843060686,3.85761346836017,3.27310121419328,2.57682790009043,1.50325122068115,2.84452429584475
