"n","p_n","p","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
200,0.3,60,0.2,1,0,4,0.919876479311746,0.89545946726078,1.813545027638,0.918697008557582,0.997190416182001,1.91389304390722,0.91970551681906,1.01363398143475,1.93131223029094,0.919824285499881,0.816412285740849,1.73460374666925,0.921153940212329,0.93946134067834,1.85873635820931,7.05040079712884,3.48835519190065,2.50585255659419,3.18384969982532,2.98738071097983
200,0.3,60,0.4,1,0,4,0.743704908287324,0.726172030063164,1.46842459429036,0.738049661421625,0.893034146317299,1.62929773944629,0.740947413275938,0.98075896613624,1.71974486147991,0.74433508595781,0.665548360212473,1.40855234944986,0.743390247059903,0.813166302046149,1.55493021650196,11.5893881087968,9.11779371532226,8.72715478151227,9.10523150979989,7.53859753170133
200,0.3,60,0.5,1,0,4,1.16152053060619,0.645604069062527,1.80583339153059,1.1635718231177,0.777432300912905,1.93944925942878,1.16564291327809,0.929955342968164,2.09373834556032,1.15868771862965,0.599139899277766,1.75662933810887,1.16251519259893,0.729798354620557,1.89085395051024,13.7387681988169,12.0546967062818,12.9280646649128,15.7159524056753,10.5307859474562
200,0.3,60,0.6,1,0,4,1.16604030272615,0.568056203314243,1.73296039363376,1.15649362126035,0.693829215951552,1.84893517878,1.15874042893971,0.850466112162269,2.00750560887766,1.16657271687208,0.536136216306698,1.70163666074616,1.16676414971644,0.642719695068172,1.80819840539447,15.6676426542351,14.7822264747771,17.3705646758293,22.62105024038,13.7049863152005
200,0.4,80,0,1,0,4,0.96160570097276,1.00059578676231,1.96020029616155,0.96207517405303,1.00567368556431,1.96573751224621,0.962793201211828,1.0208363458001,1.98158787432033,0.961237517109819,0.999663814222766,1.95890200370414,0.961769700348001,1.00345044849041,1.96321324794143,1.67458987592022,1.74207990569964,2.18328573707254,3.2367553844764,1.95799567029753
200,0.4,80,0.1,1,0,4,0.758114262511419,0.980647318003641,1.73680028587905,0.757265863837888,1.02124780819833,1.77647117641982,0.760060058724987,1.03331697740793,1.7913104021781,0.757102593827725,0.946234058830325,1.70144418454039,0.757406657065224,0.995816596486327,1.75123162035858,6.87583376683944,2.88719518195348,2.5067514452199,3.76625402019557,2.60929545809641
200,0.4,80,0.2,1,0,4,1.06207277065903,0.905220925046375,1.96548325385532,1.06363703152696,1.00287013250395,2.06450142376589,1.06135295109759,1.02456277012316,2.0838665956805,1.06068286593442,0.856168494707517,1.91513902365253,1.06181652895325,0.949476147711982,2.00939372436981,11.3358965424064,6.20924123076686,4.20343064350726,6.15902619832977,4.78112904410429
200,0.4,80,0.4,1,0,4,1.03365912480963,0.751468743012691,1.7836249303363,1.03321458702889,0.898861245068105,1.93027810960686,1.03467257723309,1.00088778790096,2.03355858955824,1.03219888229426,0.713180156991635,1.74395267897191,1.03608315776389,0.829996877030482,1.86442004104031,18.7326953518723,15.8955644173003,17.5856786719608,23.5838425225381,12.8257549481047
200,0.4,80,0.5,1,0,4,0.940003264758249,0.703524619153878,1.64212083467382,0.942296183478138,0.866010107155771,1.8065742704196,0.936297147789351,1.00071338371688,1.93500910473879,0.939124530047284,0.666504894285778,1.60429641454449,0.942273233683835,0.790999381095484,1.73169061601713,22.1861056997659,20.5153337017369,25.7291898063409,34.3051103323769,18.0327510802483
200,0.4,80,0.6,1,0,4,1.08584656126498,0.627742408663174,1.71233348511082,1.08674409729852,0.758651587442317,1.84387838156595,1.08070719986159,0.959668335704124,2.0384561988943,1.08739690666566,0.598530270400078,1.68473011652493,1.08438159731299,0.709641932981604,1.79260424642863,25.0215458389584,24.235870156525,30.1410832726515,43.0833135454052,22.8770343264751
